,Features,6Month,12Month,18Month,24Month,30Month,36Month
0,Unemployment,0.912009,0.359366,0.82913,0.939488,0.822667,0.800346
1,ConstructionWages,0.061561,0.63177,0.155694,0.05482,0.139472,0.185223
2,ConstructionEmployees,0.0,4.5e-05,0.0,0.0,0.012896,0.0
3,TotalNAICs,0.006902,0.000237,0.000291,0.000154,0.000654,9.4e-05
4,TotalHighPropensityNAICs,0.004728,0.001558,3.2e-05,0.000816,0.000601,0.000973
5,RealGDP,0.0,0.0,0.0,0.0,0.0,0.0
6,HousePriceIdx,0.001873,0.001704,0.0,0.0,7.9e-05,0.0
7,NewHousingPermits,0.009812,0.001415,4.7e-05,0.002726,0.021383,0.010424
8,BusinessApplications,0.000124,2.8e-05,0.006343,0.000571,0.001144,8e-06
9,HighPropensityBusinessApplications,0.002975,0.00216,0.008149,0.001426,0.001047,0.002566
10,ZillowHomeValue,1.7e-05,0.001716,0.000314,0.0,5.6e-05,0.000365
